fuente_sitio,dataset,url_origen,grupo,tema,fecha_extraccion,pais,region,periodo,indicador,categoria_energia,tecnologia,actor,item,valor,unidad
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Naâma - Solar,19.9,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Oued El Kebrit - Solar,15.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Oued el Ma - Solar,20.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,General Utility,Ras Djinet - Gas,672.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Ras el Oued - Solar,20.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,General Utility,Ravin Blanc - Gas,73.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Reggane - Solar,5.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),Relizane - Gas,465.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Sonelgaz Production de l'Electricite,SKB IPP - Gas,484.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Sharikat Kahraba Skikda (SKS - Skikda Power Co.)  SNC-Lavalin,SKS IPP SNC Lavalin - Gas,815.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Developed by SPP1  an Abener and New Energy Algeria (NEAL) a joint venture (between Sonatrach Sonelgaz and SIM),SPP1 Thermal - Gas,150.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,General Utility,Skikda - Gas,262.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Renovable,Solar,General Utility,Tamanrasset - Solar,13.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,Shariket Kahraba Terga JSC,Terga - Gas,1200.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,General Utility,Tiaret - Gas,300.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),Tilghemt 1 - Gas,200.0,MW
World Resources Institute,global_power_plant_database,https://purl.org/wri/grid/gpv2,energia-y-sustentabilidad-1,Impacto ambiental de la energia,2026-04-28 05:45:58,Algeria,DZA,2026,capacidad_generacion,Fosil,Gas,General Utility,Tilghemt 2 - Gas,600.0,MW
