region,periodo,tecnologia,categoria_energia,generacion_mwh,emisiones_tco2,intensidad_tco2_mwh,intensidad_kgco2_mwh,log_generacion_mwh,log_emisiones_tco2,nivel_huella
CA,2024,petroleum,Fosil,113172.0,112384.0,0.9930371469974906,993.0371469974906,11.636672900400718,11.629685755578928,Alta
AL,2024,coal,Fosil,20936166.0,20789476.0,0.9929934640373027,992.9934640373027,16.856988699851172,16.849957503192613,Alta
SC,2024,coal,Fosil,33683512.0,33397184.0,0.991499461220077,991.499461220077,17.33251904712464,17.323982172957923,Alta
NC,2024,coal,Fosil,34157304.0,33714020.0,0.9870222778706422,987.0222778706423,17.34648703032977,17.33342436220883,Alta
NC,2024,petroleum,Fosil,314716.0,308918.0,0.9815770408876574,981.5770408876574,12.659429101294789,12.640834385593926,Alta
WV,2024,coal,Fosil,86195738.0,83340646.0,0.9668766453394714,966.8766453394713,18.272131302857616,18.238446947307377,Alta
HI,2024,other,Otra,346122.0,331616.0,0.9580899220506064,958.0899220506064,12.75454948219727,12.71173596751544,Alta
NV,2024,petroleum,Fosil,11380.0,10858.0,0.9541300527240774,954.1300527240774,9.33970057728189,9.2927495082169,Alta
OH,2024,coal,Fosil,60159928.0,57223256.0,0.9511855798763589,951.1855798763589,17.91251705741899,17.862470964623434,Alta
CO,2024,petroleum,Fosil,84158.0,79992.0,0.9504978730483139,950.4978730483139,11.340463145771666,11.28969440982767,Alta
KY,2024,petroleum,Fosil,58083.0,54933.0,0.9457672640875988,945.7672640875988,10.969645517650628,10.913887743638089,Alta
NM,2024,coal,Fosil,8431834.0,7869685.0,0.9333301628091825,933.3301628091824,15.947524981260623,15.878528721249468,Alta
KY,2024,other,Otra,11737.0,10649.0,0.9073016954928858,907.3016954928858,9.37058672111828,9.273315171137572,Alta
WA,2024,other,Otra,145280.0,130878.0,0.9008672907488987,900.8672907488987,11.886425077071342,11.782028511220588,Alta
ND,2024,petroleum,Fosil,87248.0,78228.0,0.8966165413533834,896.6165413533835,11.376521378680941,11.267395701777536,Alta
NY,2024,petroleum,Fosil,625273.0,546692.0,0.8743252947112701,874.3252947112701,13.345945232649335,13.211642680703806,Alta
OK,2024,petroleum,Fosil,53909.0,46880.0,0.869613608117383,869.613608117383,10.895071268445715,10.75536775508141,Alta
AZ,2024,petroleum,Fosil,59878.0,51748.0,0.8642239219746819,864.2239219746818,11.000081138327317,10.854160387269413,Alta
TN,2024,petroleum,Fosil,242306.0,207752.0,0.8573951945061203,857.3951945061203,12.39796079619334,12.244105153046645,Alta
MA,2024,petroleum,Fosil,354489.0,302030.0,0.852015154207888,852.015154207888,12.778435415811733,12.618284940095581,Alta
WY,2024,petroleum,Fosil,91622.0,75890.0,0.8282945144179346,828.2945144179346,11.425437610847032,11.237053379277805,Alta
DC,2024,natural gas,Fosil,99595.0,79733.0,0.8005723178874441,800.5723178874441,11.50887728212366,11.286451373559563,Alta
ID,2024,petroleum,Fosil,45.0,36.0,0.8,800.0,3.828641396489095,3.6109179126442243,Alta
HI,2024,petroleum,Fosil,14108041.0,11195648.0,0.7935650314597186,793.5650314597186,16.462255547367956,16.23103577864373,Alta
WV,2024,petroleum,Fosil,124788.0,98835.0,0.7920232714684105,792.0232714684105,11.734379590007174,11.501217189838068,Alta
UT,2024,petroleum,Fosil,66806.0,52514.0,0.7860671197197856,786.0671197197856,11.109563144453766,10.868854122056876,Alta
OR,2024,petroleum,Fosil,26152.0,20512.0,0.7843377179565616,784.3377179565616,10.171719185666264,9.928814110482136,Alta
AR,2024,petroleum,Fosil,109132.0,83468.0,0.7648352453909028,764.8352453909027,11.600322600878652,11.332230584420795,Alta
NJ,2024,petroleum,Fosil,61945.0,47106.0,0.7604487852126887,760.4487852126887,11.034018316772512,10.760176888919194,Alta
AK,2024,petroleum,Fosil,1838646.0,1336676.0,0.7269893171388075,726.9893171388076,14.42454053301338,14.105697241258078,Alta
IN,2024,petroleum,Fosil,240044.0,166590.0,0.6939977670760361,693.9977670760361,12.3885816847482,12.023296985647017,Alta
CA,2024,other,Otra,279430.0,186436.0,0.6672010879289983,667.2010879289984,12.540510671690361,12.135848659389612,Alta
NE,2024,natural gas,Fosil,2762941.0,1802536.0,0.6523975720075094,652.3975720075093,14.83180661200951,14.404705674976334,Alta
WY,2024,natural gas,Fosil,10852116.0,6904112.0,0.6361996130524222,636.1996130524223,16.199870734125618,15.747627878934749,Alta
ND,2024,natural gas,Fosil,4884307.0,3055886.0,0.6256539566411367,625.6539566411367,15.401538175287405,14.932580452145112,Alta
KS,2024,natural gas,Fosil,10635811.0,6305292.0,0.5928360329080687,592.8360329080688,16.17973735537085,15.65689999735613,Alta
WV,2024,natural gas,Fosil,7564508.0,4394840.0,0.5809816051486759,580.981605148676,15.838977998934315,15.29594191097259,Alta
MT,2024,natural gas,Fosil,1990458.0,1126164.0,0.5657813427864341,565.7813427864342,14.503875823370631,13.93432861335844,Alta
ID,2024,natural gas,Fosil,12570892.0,6963712.0,0.553955280182186,553.955280182186,16.34689462020694,15.756223367073824,Alta
SD,2024,natural gas,Fosil,4521440.0,2465184.0,0.5452209915425175,545.2209915425175,15.324341306310535,14.717777413352703,Alta
TN,2024,natural gas,Fosil,32966810.0,17617580.0,0.5344035410159491,534.4035410159491,17.311011886075004,16.684407881873895,Alta
MO,2024,natural gas,Fosil,18199132.0,9525226.0,0.5233890275646114,523.3890275646114,16.71688451354969,16.069454310714057,Alta
DE,2024,natural gas,Fosil,8411332.0,4387452.0,0.5216120348120845,521.6120348120845,15.945090521172641,15.29425943444817,Alta
LA,2024,natural gas,Fosil,150526694.0,75178712.0,0.4994377409232146,499.43774092321456,18.829651001839327,18.13537867703917,Media
IA,2024,natural gas,Fosil,19529083.0,9589028.0,0.4910127116567634,491.01271165676343,16.78741539955118,16.07613019042992,Media
TX,2024,natural gas,Fosil,586386939.0,278613574.0,0.47513605005448456,475.13605005448454,20.189490436801663,19.445336343894635,Media
NM,2024,natural gas,Fosil,23295605.0,11063008.0,0.4748967884714735,474.8967884714735,16.9637753170608,16.21911757853927,Media
NY,2024,natural gas,Fosil,124691014.0,58494860.0,0.4691184883619601,469.1184883619601,18.641349355127304,17.88444946218954,Media
IN,2024,natural gas,Fosil,79719436.0,37262850.0,0.4674249075219248,467.4249075219248,18.194023991066167,17.433507436581934,Media
CO,2024,natural gas,Fosil,35853604.0,16741088.0,0.4669290150022296,466.9290150022296,17.394954677834356,16.63337667467314,Media
AK,2024,natural gas,Fosil,6268371.0,2895748.0,0.46196180794021285,461.96180794021285,15.651027229771627,14.878754357460855,Media
KY,2024,natural gas,Fosil,34534675.0,15855680.0,0.4591234751738651,459.1234751738651,17.357474478674607,16.57903841678242,Media
MN,2024,natural gas,Fosil,31777313.0,14533958.0,0.4573690041067978,457.36900410679783,17.274263196935813,16.491998469183223,Media
MI,2024,natural gas,Fosil,111468562.0,50648446.0,0.45437426563374883,454.37426563374885,18.52925316292181,17.74041912678712,Media
OK,2024,natural gas,Fosil,95485039.0,43068366.0,0.4510483155376833,451.0483155376833,18.374480143965528,17.578299341289444,Media
MA,2024,natural gas,Fosil,32405944.0,14476580.0,0.4467260697605353,446.7260697605353,17.293852451585078,16.488042798256885,Media
WA,2024,natural gas,Fosil,36194962.0,16133236.0,0.4457315357866656,445.7315357866656,17.404430523468214,16.596392111926544,Media
IN,2024,other,Otra,865456.0,383933.0,0.4436193174465253,443.61931744652526,13.671012970099609,12.858225941797663,Media
WI,2024,natural gas,Fosil,52491125.0,23121086.0,0.4404760995311112,440.47609953111123,17.776154684703485,16.956255616234188,Media
US-TOTAL,2024,natural gas,Fosil,3739804292.0,1641219026.0,0.43885158095326343,438.8515809532634,22.042299118928824,21.218705111811435,Media
CA,2024,natural gas,Fosil,173311350.0,75902648.0,0.43795543684819255,437.95543684819256,18.970600251675307,18.144962142942596,Media
SC,2024,natural gas,Fosil,45617486.0,19884112.0,0.4358879399886263,435.8879399886263,17.635801687814435,16.805431629141726,Media
NC,2024,natural gas,Fosil,111006392.0,48235250.0,0.4345267793227619,434.5267793227619,18.525098352212698,17.691600660263518,Media
NJ,2024,natural gas,Fosil,59297700.0,25622906.0,0.43210623683549276,432.1062368354928,17.898081094245086,17.058997314038233,Media
UT,2024,natural gas,Fosil,23280900.0,10036546.0,0.43110644347941873,431.1064434794187,16.96314388282772,16.12174368876954,Media
MD,2024,natural gas,Fosil,27820188.0,11984990.0,0.4308019054364406,430.80190543644056,17.141272538110112,16.299165674911666,Media
IL,2024,natural gas,Fosil,60274666.0,25903726.0,0.42976141916738286,429.7614191673829,17.91442245733769,17.06989741593111,Media
AR,2024,natural gas,Fosil,49450614.0,21229358.0,0.4293042347259834,429.3042347259834,17.71648505276051,16.870895640100677,Media
AL,2024,natural gas,Fosil,129197502.0,55374178.0,0.42860099570655785,428.60099570655785,18.676852822500628,17.829623960034564,Media
VA,2024,natural gas,Fosil,121996156.0,51813826.0,0.4247168738660913,424.7168738660913,18.619500102201396,17.763167602112034,Media
GA,2024,natural gas,Fosil,113873051.0,47591920.0,0.41793839351858586,417.9383935185859,18.55059480692168,17.678173577905653,Media
RI,2024,natural gas,Fosil,17582422.0,7340324.0,0.41748082260794334,417.4808226079433,16.68241026780025,15.808893677539615,Media
AZ,2024,natural gas,Fosil,110179860.0,45721222.0,0.41496896075199224,414.96896075199226,18.517624688436076,17.638073146314394,Media
NV,2024,natural gas,Fosil,49998940.0,20691250.0,0.41383377327599347,413.83377327599345,17.727512383168122,16.84522151188612,Media
OR,2024,natural gas,Fosil,49851640.0,20570126.0,0.4126268664380951,412.6268664380951,17.72456197258658,16.839350435649944,Media
ME,2024,natural gas,Fosil,12797564.0,5247640.0,0.41004991262399626,410.04991262399625,16.364765476417993,15.473289200254001,Media
OH,2024,natural gas,Fosil,170273328.0,68777926.0,0.40392659735880654,403.92659735880653,18.95291552150658,18.04639342293873,Media
MS,2024,natural gas,Fosil,120051074.0,48063768.0,0.40036099968585037,400.36099968585035,18.603427835193692,17.688039208002518,Media
NH,2024,natural gas,Fosil,8841966.0,3524330.0,0.3985912182878785,398.5912182878785,15.995019921174073,15.075201188982588,Media
FL,2024,natural gas,Fosil,409014527.0,161855334.0,0.39572025763280533,395.7202576328053,19.829261234158626,18.902213500412984,Media
PA,2024,natural gas,Fosil,287825056.0,113028428.0,0.3926983618827125,392.6983618827125,19.477863412560986,18.543149929105446,Media
CT,2024,natural gas,Fosil,52072687.0,20428890.0,0.3923148809278845,392.31488092788453,17.76815114662211,16.832460682403156,Media
CA,2024,geothermal,Renovable,21048976.0,729322.0,0.0346488114196149,34.6488114196149,16.862362518336894,13.499871985565402,Baja
HI,2024,geothermal,Renovable,258939.0,8256.0,0.03188395722544692,31.883957225446924,12.464351653612638,9.01881660441743,Baja
US-TOTAL,2024,geothermal,Renovable,30814280.0,811230.0,0.026326430473144268,26.326430473144267,17.243488809313796,13.60630812607902,Baja
LA,2024,other,Otra,904438.0,11862.0,0.013115326865965385,13.115326865965384,13.715070140968367,9.381179591661104,Baja
UT,2024,geothermal,Renovable,901960.0,10976.0,0.01216905406004701,12.16905406004701,13.712326560859449,9.303557453687317,Baja
NV,2024,geothermal,Renovable,3885732.0,21722.0,0.005590195103522322,5.590195103522322,15.172822198375785,9.98612688605693,Baja
